Year,Gender,Intent,Substance,Under1_year,1to4_Years,5to14_years,15to24_years,25to34_years,35to44_years,45to54_years,55to64_years,65to74_years,75to84_years,85Plus_years
2021,Female,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,10,0,541,2119,2700,2072,0,1499,252,15,0
2021,Female,Preventable/accidental,All drugs,12,15,1981,6149,7284,6120,28,5349,1321,189,84
2021,Female,Preventable/accidental,Any Opioid,0,11,1750,5247,5708,4386,21,3764,825,52,20
2021,Female,Preventable/accidental,Benzodiazepines,0,0,300,937,1115,937,0,810,211,10,0
2021,Female,Preventable/accidental,Cannabis,0,0,39,75,74,63,0,38,4,0,0
2021,Female,Preventable/accidental,Cocaine,0,0,365,1342,1701,1536,0,1373,224,14,0
2021,Female,Preventable/accidental,Opioid subgroup - heroin,0,0,123,535,601,498,0,454,91,0,0
2021,Female,Preventable/accidental,Opioid subgroup - methadone,0,0,23,237,360,328,0,340,82,0,0
2021,Female,Preventable/accidental,Opioid subgroup – including fentanyl,0,10,1662,4784,4941,3585,21,2862,525,30,18
2021,Female,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,158,752,1114,1074,0,1109,323,24,11
2021,Female,Preventable/accidental,Psychostimulants – incl. methamphetamine,0,0,508,2044,2598,1986,0,1461,249,14,0
2021,Male,"All (preventable, intentional, undetermined)",All drugs,40,67,5115,17361,18941,14963,49,13277,3928,443,108
2021,Male,"All (preventable, intentional, undetermined)",Any Opioid,18,54,4446,14740,15054,10842,39,8925,2412,189,31
2021,Male,"All (preventable, intentional, undetermined)",Benzodiazepines,0,0,789,2044,1962,1277,0,1030,296,34,10
2021,Male,"All (preventable, intentional, undetermined)",Cannabis,0,0,106,254,217,145,0,112,17,0,0
2021,Male,"All (preventable, intentional, undetermined)",Cocaine,0,0,773,3392,4241,4108,0,3988,1046,67,0
2021,Male,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,234,1601,1797,1406,0,1332,397,29,0
2021,Male,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,0,0,45,338,513,465,0,546,224,19,0
2021,Male,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,16,51,4181,13564,13814,9663,31,7736,1869,91,7
2021,Male,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,0,0,411,1887,1936,1688,0,1618,611,88,22
2021,Male,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,19,0,961,5359,6520,5243,0,4144,1008,52,0
2021,Male,Preventable/accidental,All drugs,14,18,4754,16453,17971,14073,36,12462,3565,324,58
2021,Male,Preventable/accidental,Any Opioid,0,14,4271,14129,14429,10312,31,8446,2210,131,10
2021,Male,Preventable/accidental,Benzodiazepines,0,0,749,1952,1846,1177,0,920,231,16,0
2021,Male,Preventable/accidental,Cannabis,0,0,106,248,213,142,0,111,16,0,0
2021,Male,Preventable/accidental,Cocaine,0,0,744,3251,4075,3934,0,3853,1027,65,0
2021,Male,Preventable/accidental,Opioid subgroup - heroin,0,0,226,1568,1749,1384,0,1310,395,29,0
2021,Male,Preventable/accidental,Opioid subgroup - methadone,0,0,44,310,474,427,0,507,208,18,0
2021,Male,Preventable/accidental,Opioid subgroup – including fentanyl,0,13,4030,13033,13285,9250,26,7387,1769,80,14
2021,Male,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,374,1792,1840,1550,0,1457,503,40,5
2021,Male,Preventable/accidental,Psychostimulants – incl. methamphetamine,0,0,922,5210,6337,5129,0,4084,992,48,0
2020,Both sexes,"All (preventable, intentional, undetermined)",All drugs,65,70,112,7095,21784,22710,18919,15819,4291,655,263
2020,Both sexes,"All (preventable, intentional, undetermined)",Any Opioid,24,58,61,5986,18239,17666,13258,10445,2554,254,76
2020,Both sexes,"All (preventable, intentional, undetermined)",Benzodiazepines,1,1,6,1267,3073,3069,2287,1933,535,84,34
2020,Both sexes,"All (preventable, intentional, undetermined)",Cannabis,1,0,1,149,300,270,171,114,22,0,0
2020,Both sexes,"All (preventable, intentional, undetermined)",Cocaine,3,1,1,1089,4366,4796,4487,3807,842,50,3
2020,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,2,2,2,711,3586,3477,2639,2160,555,29,1
2020,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,2,12,5,130,604,903,805,809,262,9,0
2020,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,19,41,43,5393,15854,14906,10734,7777,1623,103,16
2020,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,4,5,13,693,2784,3243,2831,2815,867,153,60
2020,Both sexes,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,33,3,3,1316,5700,6624,5271,3972,863,40,3
2020,Both sexes,Preventable/accidental,All drugs,15,26,52,6496,20322,21114,17192,14193,3563,413,156
2020,Both sexes,Preventable/accidental,Any Opioid,5,20,40,5729,17344,16783,12370,9538,2182,139,24
2020,Both sexes,Preventable/accidental,Benzodiazepines,0,0,3,1205,2898,2830,1995,1666,363,25,9
2020,Both sexes,Preventable/accidental,Cannabis,0,0,0,143,294,262,164,108,18,0,0
2020,Both sexes,Preventable/accidental,Cocaine,2,0,1,1055,4161,4587,4283,3651,816,49,2
2020,Both sexes,Preventable/accidental,Opioid subgroup - heroin,1,1,2,690,3493,3393,2587,2111,544,26,1
2020,Both sexes,Preventable/accidental,Opioid subgroup - methadone,1,3,0,118,555,832,728,731,236,6,0
2020,Both sexes,Preventable/accidental,Opioid subgroup – including fentanyl,4,15,36,5180,15116,14221,10116,7225,1477,75,8
2020,Both sexes,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,2,4,652,2596,3001,2516,2419,623,62,15
2020,Both sexes,Preventable/accidental,Psychostimulants – incl. methamphetamine,8,0,1,1267,5481,6373,5127,3875,843,37,1
2020,Female,"All (preventable, intentional, undetermined)",All drugs,31,28,66,1990,6141,6791,6089,5096,1371,313,153
2020,Female,"All (preventable, intentional, undetermined)",Any Opioid,11,26,28,1584,4987,5028,4074,3307,764,117,44
2020,Female,"All (preventable, intentional, undetermined)",Benzodiazepines,1,0,2,330,1035,1187,1027,898,251,56,23
2020,Female,"All (preventable, intentional, undetermined)",Cannabis,0,0,1,36,59,57,43,32,5,0,0
2020,Female,"All (preventable, intentional, undetermined)",Cocaine,1,0,0,299,1230,1363,1243,963,142,4,0
2020,Female,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,1,230,965,866,639,488,90,5,0
2020,Female,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,1,5,3,29,228,384,349,334,76,2,0
2020,Female,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,8,18,18,1428,4222,3999,2985,2145,371,47,9
2020,Female,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,3,3,7,196,940,1180,1228,1231,383,79,36
2020,Female,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,18,1,2,444,1744,1933,1542,1025,171,6,2
2020,Female,Preventable/accidental,All drugs,4,10,24,1719,5608,6101,5269,4325,976,179,93
2020,Female,Preventable/accidental,Any Opioid,1,9,17,1506,4697,4701,3701,2917,572,56,15
2020,Female,Preventable/accidental,Benzodiazepines,0,0,1,302,950,1066,863,736,149,14,7
2020,Female,Preventable/accidental,Cannabis,0,0,0,32,59,54,38,30,4,0,0
2020,Female,Preventable/accidental,Cocaine,0,0,0,282,1162,1298,1172,924,137,3,0
2020,Female,Preventable/accidental,Opioid subgroup - heroin,0,0,1,220,931,841,624,472,89,5,0
2020,Female,Preventable/accidental,Opioid subgroup - methadone,0,1,0,27,205,351,312,298,69,0,0
2020,Female,Preventable/accidental,Opioid subgroup – including fentanyl,1,6,16,1368,3999,3777,2777,1967,319,26,4
2020,Female,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,2,1,176,869,1060,1053,1006,233,33,11
2020,Female,Preventable/accidental,Psychostimulants – incl. methamphetamine,3,0,1,424,1668,1831,1488,981,164,4,0
2020,Male,"All (preventable, intentional, undetermined)",All drugs,34,42,46,5105,15643,15919,12830,10723,2920,342,110
2020,Male,"All (preventable, intentional, undetermined)",Any Opioid,13,32,33,4402,13252,12638,9184,7138,1790,137,32
2020,Male,"All (preventable, intentional, undetermined)",Benzodiazepines,0,1,4,937,2038,1882,1260,1035,284,28,11
2020,Male,"All (preventable, intentional, undetermined)",Cannabis,1,0,0,113,241,213,128,82,17,0,0
2020,Male,"All (preventable, intentional, undetermined)",Cocaine,2,1,1,790,3136,3433,3244,2844,700,46,3
2020,Male,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,2,2,1,481,2621,2611,2000,1672,465,24,1
2020,Male,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,1,7,2,101,376,519,456,475,186,7,0
2020,Male,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,11,23,25,3965,11632,10907,7749,5632,1252,56,7
2020,Male,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,1,2,6,497,1844,2063,1603,1584,484,74,24
2020,Male,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,15,2,1,872,3956,4691,3729,2947,692,34,1
2020,Male,Preventable/accidental,All drugs,11,16,28,4777,14714,15013,11923,9868,2587,234,63
2020,Male,Preventable/accidental,Any Opioid,4,11,23,4223,12647,12082,8669,6621,1610,83,9
2020,Male,Preventable/accidental,Benzodiazepines,0,0,2,903,1948,1764,1132,930,214,11,2
2020,Male,Preventable/accidental,Cannabis,0,0,0,111,235,208,126,78,14,0,0
2020,Male,Preventable/accidental,Cocaine,2,0,1,773,2999,3289,3111,2727,679,46,2
2020,Male,Preventable/accidental,Opioid subgroup - heroin,1,1,1,470,2562,2552,1963,1639,455,21,1
2020,Male,Preventable/accidental,Opioid subgroup - methadone,1,2,0,91,350,481,416,433,167,6,0
2020,Male,Preventable/accidental,Opioid subgroup – including fentanyl,3,9,20,3812,11117,10444,7339,5258,1158,49,4
2020,Male,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,3,476,1727,1941,1463,1413,390,29,4
2020,Male,Preventable/accidental,Psychostimulants – incl. methamphetamine,5,0,0,843,3813,4542,3639,2894,679,33,1
2019,Both sexes,"All (preventable, intentional, undetermined)",All drugs,50,50,63,4777,16375,16859,15083,12896,3557,672,240
2019,Both sexes,"All (preventable, intentional, undetermined)",Any Opioid,19,39,31,3725,13309,12425,10015,7978,1977,265,72
2019,Both sexes,"All (preventable, intentional, undetermined)",Benzodiazepines,0,1,4,727,2297,2282,2036,1788,458,96,21
2019,Both sexes,"All (preventable, intentional, undetermined)",Cannabis,0,0,1,111,233,197,155,85,17,0,0
2019,Both sexes,"All (preventable, intentional, undetermined)",Cocaine,3,2,2,850,3630,3889,3726,3061,679,37,1
2019,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,4,3,1,876,4026,3629,2757,2173,523,25,1
2019,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,5,6,6,80,524,669,631,638,169,11,1
2019,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,10,29,16,3040,10550,9407,7081,5092,1044,75,10
2019,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,4,5,12,609,2361,2651,2629,2544,827,184,58
2019,Both sexes,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,17,2,6,909,3692,4325,3702,2897,584,31,2
2019,Both sexes,Preventable/accidental,All drugs,12,20,19,4156,15054,15336,13237,11051,2777,378,126
2019,Both sexes,Preventable/accidental,Any Opioid,5,14,13,3472,12537,11610,9110,6989,1597,123,16
2019,Both sexes,Preventable/accidental,Benzodiazepines,0,0,1,670,2140,2097,1727,1435,293,27,5
2019,Both sexes,Preventable/accidental,Cannabis,0,0,0,105,221,188,146,79,16,0,0
2019,Both sexes,Preventable/accidental,Cocaine,1,1,1,802,3436,3668,3528,2916,649,36,0
2019,Both sexes,Preventable/accidental,Opioid subgroup - heroin,0,2,0,839,3900,3518,2690,2110,511,22,1
2019,Both sexes,Preventable/accidental,Opioid subgroup - methadone,2,2,1,70,485,600,570,572,152,7,0
2019,Both sexes,Preventable/accidental,Opioid subgroup – including fentanyl,2,11,12,2869,9946,8846,6528,4561,904,41,2
2019,Both sexes,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,1,2,3,525,2167,2376,2214,2037,575,67,12
2019,Both sexes,Preventable/accidental,Psychostimulants – incl. methamphetamine,4,1,2,846,3528,4155,3572,2799,566,28,2
2019,Female,"All (preventable, intentional, undetermined)",All drugs,20,26,41,1459,4767,5088,5200,4411,1248,337,149
2019,Female,"All (preventable, intentional, undetermined)",Any Opioid,9,18,18,1058,3763,3536,3247,2733,662,136,42
2019,Female,"All (preventable, intentional, undetermined)",Benzodiazepines,0,1,3,208,750,872,968,880,232,57,15
2019,Female,"All (preventable, intentional, undetermined)",Cannabis,0,0,1,33,47,65,53,26,3,0,0
2019,Female,"All (preventable, intentional, undetermined)",Cocaine,1,0,2,236,1044,1083,1085,760,119,4,1
2019,Female,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,1,1,280,1085,852,672,526,97,4,1
2019,Female,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,2,3,4,25,220,291,289,248,54,3,1
2019,Female,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,5,13,8,865,2938,2453,2014,1486,256,29,6
2019,Female,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,3,2,7,180,777,1020,1169,1143,398,106,35
2019,Female,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,8,1,2,313,1176,1240,1099,757,130,6,1
2019,Female,Preventable/accidental,All drugs,6,10,11,1163,4256,4420,4227,3501,818,170,83
2019,Female,Preventable/accidental,Any Opioid,4,5,7,956,3506,3236,2824,2278,474,55,11
2019,Female,Preventable/accidental,Benzodiazepines,0,0,1,180,679,778,772,664,128,13,4
2019,Female,Preventable/accidental,Cannabis,0,0,0,30,45,62,46,22,3,0,0
2019,Female,Preventable/accidental,Cocaine,1,0,1,218,980,1016,1004,729,114,4,0
2019,Female,Preventable/accidental,Opioid subgroup - heroin,0,1,0,266,1044,818,646,507,95,2,1
2019,Female,Preventable/accidental,Opioid subgroup - methadone,2,0,1,20,201,258,260,223,44,0,0
2019,Female,Preventable/accidental,Opioid subgroup – including fentanyl,1,5,6,800,2751,2278,1802,1290,206,12,2
2019,Female,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,1,0,1,141,693,895,939,875,250,39,8
2019,Female,Preventable/accidental,Psychostimulants – incl. methamphetamine,2,0,1,281,1120,1177,1037,714,121,5,1
2019,Male,"All (preventable, intentional, undetermined)",All drugs,30,24,22,3318,11608,11771,9883,8485,2309,335,91
2019,Male,"All (preventable, intentional, undetermined)",Any Opioid,10,21,13,2667,9546,8889,6768,5245,1315,129,30
2019,Male,"All (preventable, intentional, undetermined)",Benzodiazepines,0,0,1,519,1547,1410,1068,908,226,39,6
2019,Male,"All (preventable, intentional, undetermined)",Cannabis,0,0,0,78,186,132,102,59,14,0,0
2019,Male,"All (preventable, intentional, undetermined)",Cocaine,2,2,0,614,2586,2806,2641,2301,560,33,0
2019,Male,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,4,2,0,596,2941,2777,2085,1647,426,21,0
2019,Male,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,3,3,2,55,304,378,342,390,115,8,0
2019,Male,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,5,16,8,2175,7612,6954,5067,3606,788,46,4
2019,Male,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,1,3,5,429,1584,1631,1460,1401,429,78,23
2019,Male,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,9,1,4,596,2516,3085,2603,2140,454,25,1
2019,Male,Preventable/accidental,All drugs,6,10,8,2993,10798,10916,9010,7550,1959,208,43
2019,Male,Preventable/accidental,Any Opioid,1,9,6,2516,9031,8374,6286,4711,1123,68,5
2019,Male,Preventable/accidental,Benzodiazepines,0,0,0,490,1461,1319,955,771,165,14,1
2019,Male,Preventable/accidental,Cannabis,0,0,0,75,176,126,100,57,13,0,0
2019,Male,Preventable/accidental,Cocaine,0,1,0,584,2456,2652,2524,2187,535,32,0
2019,Male,Preventable/accidental,Opioid subgroup - heroin,0,1,0,573,2856,2700,2044,1603,416,20,0
2019,Male,Preventable/accidental,Opioid subgroup - methadone,0,2,0,50,284,342,310,349,108,7,0
2019,Male,Preventable/accidental,Opioid subgroup – including fentanyl,1,6,6,2069,7195,6568,4726,3271,698,29,0
2019,Male,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,2,2,384,1474,1481,1275,1162,325,28,4
2019,Male,Preventable/accidental,Psychostimulants – incl. methamphetamine,2,1,1,565,2408,2978,2535,2085,445,23,1
2018,Both sexes,"All (preventable, intentional, undetermined)",All drugs,32,35,53,4633,16200,15794,14688,11946,3122,603,247
2018,Both sexes,"All (preventable, intentional, undetermined)",Any Opioid,15,27,23,3618,12839,11414,9565,7278,1730,222,60
2018,Both sexes,"All (preventable, intentional, undetermined)",Benzodiazepines,1,0,4,899,2492,2492,2282,1964,481,81,28
2018,Both sexes,"All (preventable, intentional, undetermined)",Cannabis,0,0,0,82,233,187,143,100,13,0,0
2018,Both sexes,"All (preventable, intentional, undetermined)",Cocaine,3,5,0,859,3571,3561,3431,2676,524,27,2
2018,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,4,2,0,1160,4642,3740,2922,2077,431,13,1
2018,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,3,8,4,124,572,723,726,677,177,9,0
2018,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,6,13,10,2640,9568,8070,6132,4018,791,62,18
2018,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,5,7,10,686,2388,2767,2908,2764,800,166,47
2018,Both sexes,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,10,0,7,749,3102,3279,2926,2174,402,24,0
2018,Both sexes,Preventable/accidental,All drugs,7,10,23,4082,14838,14251,12742,10103,2325,370,143
2018,Both sexes,Preventable/accidental,Any Opioid,4,5,14,3367,12063,10616,8600,6366,1343,113,16
2018,Both sexes,Preventable/accidental,Benzodiazepines,1,0,3,834,2315,2240,1944,1571,287,19,4
2018,Both sexes,Preventable/accidental,Cannabis,0,0,0,81,225,176,132,92,12,0,0
2018,Both sexes,Preventable/accidental,Cocaine,1,1,0,813,3370,3369,3204,2535,502,27,1
2018,Both sexes,Preventable/accidental,Opioid subgroup - heroin,0,0,0,1113,4489,3598,2802,1995,418,12,1
2018,Both sexes,Preventable/accidental,Opioid subgroup - methadone,1,1,3,112,525,659,651,614,147,7,0
2018,Both sexes,Preventable/accidental,Opioid subgroup – including fentanyl,2,2,5,2465,8978,7558,5594,3583,674,44,6
2018,Both sexes,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,2,2,6,610,2200,2464,2475,2273,522,72,10
2018,Both sexes,Preventable/accidental,Psychostimulants – incl. methamphetamine,2,0,6,709,2952,3149,2801,2113,392,20,0
2018,Female,"All (preventable, intentional, undetermined)",All drugs,16,11,33,1481,4687,5015,5222,4353,1146,303,155
2018,Female,"All (preventable, intentional, undetermined)",Any Opioid,6,9,13,1091,3604,3409,3248,2609,587,108,37
2018,Female,"All (preventable, intentional, undetermined)",Benzodiazepines,0,0,1,263,822,998,1072,1000,256,47,22
2018,Female,"All (preventable, intentional, undetermined)",Cannabis,0,0,0,16,50,43,38,27,5,0,0
2018,Female,"All (preventable, intentional, undetermined)",Cocaine,3,1,0,265,1063,1076,998,737,78,5,1
2018,Female,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,2,0,0,339,1162,915,717,504,65,0,0
2018,Female,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,0,1,2,34,230,298,341,302,55,3,0
2018,Female,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,5,5,6,799,2655,2173,1778,1177,176,22,10
2018,Female,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,0,3,6,213,758,1115,1357,1283,376,88,29
2018,Female,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,4,0,5,294,1002,996,857,528,82,6,0
2018,Female,Preventable/accidental,All drugs,4,3,10,1221,4165,4315,4244,3391,716,172,85
2018,Female,Preventable/accidental,Any Opioid,1,1,6,1000,3345,3092,2826,2181,391,44,10
2018,Female,Preventable/accidental,Benzodiazepines,0,0,0,235,729,852,876,748,136,11,4
2018,Female,Preventable/accidental,Cannabis,0,0,0,16,47,40,34,23,4,0,0
2018,Female,Preventable/accidental,Cocaine,1,1,0,245,998,1010,919,703,72,5,0
2018,Female,Preventable/accidental,Opioid subgroup - heroin,0,0,0,321,1120,873,681,483,61,0,0
2018,Female,Preventable/accidental,Opioid subgroup - methadone,0,0,1,32,206,271,305,273,47,1,0
2018,Female,Preventable/accidental,Opioid subgroup – including fentanyl,1,1,2,741,2480,2013,1593,1025,135,11,3
2018,Female,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,3,183,672,945,1124,1000,216,32,6
2018,Female,Preventable/accidental,Psychostimulants – incl. methamphetamine,1,0,5,279,948,950,799,506,80,4,0
2018,Male,"All (preventable, intentional, undetermined)",All drugs,16,24,20,3152,11513,10779,9466,7593,1976,300,92
2018,Male,"All (preventable, intentional, undetermined)",Any Opioid,9,18,10,2527,9235,8005,6317,4669,1143,114,23
2018,Male,"All (preventable, intentional, undetermined)",Benzodiazepines,1,0,3,636,1670,1494,1210,964,225,34,6
2018,Male,"All (preventable, intentional, undetermined)",Cannabis,0,0,0,66,183,144,105,73,8,0,0
2018,Male,"All (preventable, intentional, undetermined)",Cocaine,0,4,0,594,2508,2485,2433,1939,446,22,1
2018,Male,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,2,2,0,821,3480,2825,2205,1573,366,13,1
2018,Male,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,3,7,2,90,342,425,385,375,122,6,0
2018,Male,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,1,8,4,1841,6913,5897,4354,2841,615,40,8
2018,Male,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,5,4,4,473,1630,1652,1551,1481,424,78,18
2018,Male,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,6,0,2,455,2100,2283,2069,1646,320,18,0
2018,Male,Preventable/accidental,All drugs,3,7,13,2861,10673,9936,8498,6712,1609,198,58
2018,Male,Preventable/accidental,Any Opioid,3,4,8,2367,8718,7524,5774,4185,952,69,6
2018,Male,Preventable/accidental,Benzodiazepines,1,0,3,599,1586,1388,1068,823,151,8,0
2018,Male,Preventable/accidental,Cannabis,0,0,0,65,178,136,98,69,8,0,0
2018,Male,Preventable/accidental,Cocaine,0,0,0,568,2372,2359,2285,1832,430,22,1
2018,Male,Preventable/accidental,Opioid subgroup - heroin,0,0,0,792,3369,2725,2121,1512,357,12,1
2018,Male,Preventable/accidental,Opioid subgroup - methadone,1,1,2,80,319,388,346,341,100,6,0
2018,Male,Preventable/accidental,Opioid subgroup – including fentanyl,1,1,3,1724,6498,5545,4001,2558,539,33,3
2018,Male,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,2,2,3,427,1528,1519,1351,1273,306,40,4
2018,Male,Preventable/accidental,Psychostimulants – incl. methamphetamine,1,0,1,430,2004,2199,2002,1607,312,16,0
2017,Both sexes,"All (preventable, intentional, undetermined)",All drugs,36,38,73,5455,17400,15949,15996,11747,2738,530,261
2017,Both sexes,"All (preventable, intentional, undetermined)",Any Opioid,19,26,34,4094,13181,11149,10207,7153,1442,207,75
